ticker,fund_name,issuer,bucket,inclusion_start_date,inception_date,first_return_date,classification_rationale,source,notes
BOTZ,Global X Robotics & AI ETF,Global X,theme,2016-09-12,2016-09-12,2016-09-15,"Robotics and AI theme ETF. AI and robotics companies across developed markets.",Manual,"Initial classification. Verify holdings for semiconductor overlap."
IRBO,iShares Robotics and Multifactor ETF,iShares,theme,2018-06-26,2018-06-26,2018-06-27,"Robotics and AI theme ETF. Multifactor screen within AI/robotics universe.",Manual,"Initial classification."
ROBO,ROBO Global Robotics and Automation Index ETF,ROBO Global,theme,2013-10-22,2013-10-22,2013-10-23,"Robotics and automation theme. Older product, broader than pure AI.",Manual,"Pre-ChatGPT era product. Verify current mandate."
AIQ,Global X Artificial Intelligence & Technology ETF,Global X,theme,2018-05-10,2018-05-10,2018-05-11,"AI companies involved in hardware, software, AI innovation.",Manual,"May hold semiconductors. Check holdings."
THNQ,ROBO Global Artificial Intelligence Technology ETF,ROBO Global,theme,2018-04-05,2018-04-05,2018-04-06,"AI companies across hardware, software, services.",Manual,"Pure AI theme, verify semiconductor exposure."
WTAI,WisdomTree Artificial Intelligence Fund,WisdomTree,theme,2018-04-05,2018-04-05,2018-04-06,"AI companies across hardware, software, services.",Manual,"Pure AI theme, verify semiconductor exposure."
SOXX,iShares Semiconductor ETF,iShares,infra,2001-07-10,2001-07-10,2001-07-11,"Dedicated semiconductor ETF. 30 largest US semiconductor companies.",Manual,"Selected as AI Infra proxy. Market-cap weighted."
SMH,Vaneck Semiconductor ETF,VanEck,infra,2011-12-20,2011-12-20,2011-12-21,"Dedicated semiconductor ETF. 25 largest semiconductor companies.",Manual,"Backup AI Infra proxy for robustness."
SOXL,Semiconductor Bull 3x ETF,DIRK,excluded,2010-03-11,2010-03-11,2010-03-12,"3x leveraged semiconductor ETF. Excluded per spec.",Manual,"Leveraged - never include."
QQQ,Invesco QQQ Trust,Invesco,excluded,1999-03-10,1999-03-10,1999-03-11,"Nasdaq-100 ETF. Excluded per spec - too broad.",Manual,"Broad tech - never include per spec."
XLK,Technology Select Sector SPDR Fund,State Street,excluded,1998-12-22,1998-12-22,1998-12-23,"Broad technology sector ETF. Excluded per spec.",Manual,"Sector ETF - never include."
IYW,iShares U.S. Technology ETF,iShares,excluded,2000-06-12,2000-06-12,2000-06-13,"Broad technology sector ETF. Excluded per spec.",Manual,"Sector ETF - never include."
ARKW,ARK Next Generation Internet ETF,ARK,excluded,2014-09-03,2014-09-03,2014-09-04,"Broad innovation/tech ETF. AI not central to mandate.",Manual,"Exclude - AI not central mandate."
ARKQ,ARK Autonomous Technology & Robotics ETF,ARK,theme,2014-09-03,2014-09-03,2014-09-04,"Autonomous technology and robotics. AI-adjacent.",Manual,"Include as theme but verify current holdings."
AIEQ,AI Powered Equity ETF,Equbot,excluded,2017-10-18,2017-10-18,2017-10-19,"AI-selected portfolio not AI exposure. Uses AI to select stocks rather than holding AI companies.",Manual,"Exclude - not true AI exposure ETF."
